S,keyComparisons,,
1,1536673,,117
2,1536556,,-20
3,1536576,,-184
4,1536760,,-228
5,1536988,,-17480
6,1554468,,-3247
7,1557715,,-75
8,1557790,,592
9,1557198,,-767
10,1557965,,-385
11,1558350,,-62124
12,1620474,,-18267
13,1638741,,265
14,1638476,,-1047
15,1639523,,565
16,1638958,,449
17,1638509,,-1902
18,1640411,,-121
19,1640532,,808
20,1639724,,557
21,1639167,,-328
22,1639495,,251
23,1639244,,-124335
24,1763579,,-99769
25,1863348,,1998
26,1861350,,-1413
27,1862763,,-549
28,1863312,,2567
29,1860745,,-411
30,1861156,,-2435
31,1863591,,469
32,1863122,,1072
33,1862050,,-1364
34,1863414,,1615
35,1861799,,-1094
36,1862893,,651
37,1862242,,-726
38,1862968,,770
39,1862198,,3011
40,1859187,,
