S,keyComparisons1,keyComparisons2,keyComparisons3,keyComparisons4,keyComparisons5,keyComparisons6,keyComparisons7,keyComparisons8,keyComparisons9,keyComparisons10
0,1536181,1536419,1536476,1536523,1536150,1536605,1536329,1536123,1536481,1536288
1,1536181,1536419,1536476,1536523,1536150,1536605,1536329,1536123,1536481,1536288
2,1536181,1536419,1536476,1536523,1536150,1536605,1536329,1536123,1536481,1536288
3,1536202,1536460,1536431,1536522,1536282,1536636,1536284,1536007,1536572,1536360
4,1536595,1536791,1536878,1536934,1536662,1537083,1536691,1536405,1537037,1536692
5,1536595,1536791,1536878,1536934,1536662,1537083,1536691,1536405,1537037,1536692
6,1554244,1554367,1554803,1554960,1554773,1554918,1554812,1554832,1554731,1554734
7,1557666,1557669,1558044,1558154,1558118,1558225,1558119,1558126,1557968,1558078
8,1557666,1557669,1558044,1558154,1558118,1558225,1558119,1558126,1557968,1558078
9,1557666,1557669,1558044,1558154,1558118,1558225,1558119,1558126,1557968,1558078
10,1557666,1557669,1558044,1558154,1558118,1558225,1558119,1558126,1557968,1558078
11,1557666,1557669,1558044,1558154,1558118,1558225,1558119,1558126,1557968,1558078
12,1619610,1619993,1620574,1620866,1619485,1619823,1619289,1620044,1619468,1619200
13,1639458,1639711,1639730,1640432,1639177,1639523,1639626,1639458,1638710,1638928
14,1639458,1639711,1639730,1640432,1639177,1639523,1639626,1639458,1638710,1638928
15,1639458,1639711,1639730,1640432,1639177,1639523,1639626,1639458,1638710,1638928
16,1639458,1639711,1639730,1640432,1639177,1639523,1639626,1639458,1638710,1638928
17,1639458,1639711,1639730,1640432,1639177,1639523,1639626,1639458,1638710,1638928
18,1639458,1639711,1639730,1640432,1639177,1639523,1639626,1639458,1638710,1638928
19,1639458,1639711,1639730,1640432,1639177,1639523,1639626,1639458,1638710,1638928
20,1639458,1639711,1639730,1640432,1639177,1639523,1639626,1639458,1638710,1638928
21,1639458,1639711,1639730,1640432,1639177,1639523,1639626,1639458,1638710,1638928
22,1639458,1639711,1639730,1640432,1639177,1639523,1639626,1639458,1638710,1638928
23,1639458,1639711,1639730,1640432,1639177,1639523,1639626,1639458,1638710,1638928
24,1764085,1764235,1765804,1767683,1765076,1764626,1764587,1766169,1764489,1766597
25,1860452,1860692,1862685,1866572,1862735,1862882,1862035,1863776,1860824,1864091
26,1860452,1860692,1862685,1866572,1862735,1862882,1862035,1863776,1860824,1864091
27,1860452,1860692,1862685,1866572,1862735,1862882,1862035,1863776,1860824,1864091
28,1860452,1860692,1862685,1866572,1862735,1862882,1862035,1863776,1860824,1864091
29,1860452,1860692,1862685,1866572,1862735,1862882,1862035,1863776,1860824,1864091
30,1860452,1860692,1862685,1866572,1862735,1862882,1862035,1863776,1860824,1864091
31,1860452,1860692,1862685,1866572,1862735,1862882,1862035,1863776,1860824,1864091
32,1860452,1860692,1862685,1866572,1862735,1862882,1862035,1863776,1860824,1864091
33,1860452,1860692,1862685,1866572,1862735,1862882,1862035,1863776,1860824,1864091
34,1860452,1860692,1862685,1866572,1862735,1862882,1862035,1863776,1860824,1864091
35,1860452,1860692,1862685,1866572,1862735,1862882,1862035,1863776,1860824,1864091
36,1860452,1860692,1862685,1866572,1862735,1862882,1862035,1863776,1860824,1864091
37,1860452,1860692,1862685,1866572,1862735,1862882,1862035,1863776,1860824,1864091
38,1860452,1860692,1862685,1866572,1862735,1862882,1862035,1863776,1860824,1864091
39,1860452,1860692,1862685,1866572,1862735,1862882,1862035,1863776,1860824,1864091
40,1860452,1860692,1862685,1866572,1862735,1862882,1862035,1863776,1860824,1864091
