S,keyComparisons
1,8691
11,9120
21,10333
31,12261
41,13446
51,13557
61,13209
71,20127
81,20802
91,19914
101,20453
111,20714
121,20093
131,33934
141,35240
151,35048
161,34880
171,34865
181,35626
191,35655
201,35783
211,34811
221,33544
231,35160
241,35584
251,65484
261,64498
271,63635
281,64623
291,66004
301,64886
311,64338
321,64324
331,62554
341,64931
351,66944
361,64478
371,61112
381,66390
391,65955
401,63775
411,65347
421,65204
431,65973
441,64517
451,64870
461,62328
471,64611
481,65847
491,65365
501,123290
511,126294
521,123073
531,121503
541,127489
551,125230
561,126630
571,127035
581,129727
591,130574
601,128313
611,121999
621,128916
631,129993
641,130565
651,122374
661,126045
671,126456
681,125547
691,130744
701,129340
711,127023
721,125927
731,126796
741,125429
751,126603
761,129641
771,126313
781,127783
791,123306
801,126533
811,126154
821,125174
831,129602
841,125393
851,125692
861,123822
871,132421
881,123717
891,124495
901,128785
911,125659
921,125863
931,125724
941,127817
951,130369
961,126008
971,126078
981,120751
991,128153
