S,keyComparisons0
0,18669313.13
1,18669313.13
2,18669313.13
3,18669394.75
4,18722842.75
5,18722842.75
6,18722842.75
7,18815949.13
8,19067410
9,19067410
10,19067410
11,19067410
12,19067410
13,19067410
14,19067410
15,19882258.25
16,20217627.25
17,20217627.25
18,20217627.25
19,20217627.25
20,20217627.25
21,20217627.25
22,20217627.25
23,20217627.25
24,20217627.25
25,20217627.25
26,20217627.25
27,20217627.25
28,20217627.25
29,20217627.25
30,21595075.38
31,23183032.5
32,23183032.5
33,23183032.5
34,23183032.5
35,23183032.5
36,23183032.5
37,23183032.5
38,23183032.5
39,23183032.5
40,23183032.5
